mq2,mq135,category
641,1156,2
642,1159,2
640,1105,2
616,1192,2
780,1438,2
639,1050,2
564,1231,2
797,1289,2
740,1192,2
887,1480,2
627,1107,2
564,1128,2
743,1196,2
620,1145,2
637,1145,2
576,1094,2
559,1089,2
552,1085,2
551,1077,2
546,1082,2
543,1061,2
501,1072,2
537,1078,2
533,1080,2
556,1046,2
543,1035,2
526,1073,2
534,1064,2
548,1078,2
1005,1483,2
1116,1597,2
860,1359,2
878,1397,2
888,1417,2
883,1411,2
804,1384,2
795,1360,2
823,1366,2
830,1361,2
840,1326,2
833,1344,2
828,1380,2
890,1367,2
802,1295,2
781,1252,2
757,1257,2
749,1208,2
791,1187,2
764,1265,2
742,1228,2
710,1206,2
671,1203,2
458,938,0
453,960,0
428,966,0
430,957,0
482,960,0
496,974,0
509,992,0
517,967,0
522,980,0
520,967,0
494,933,0
428,954,0
474,967,0
451,931,0
463,967,0
424,944,0
435,967,0
517,935,0
517,924,0
517,904,0
596,1162,1
669,1223,1
722,1247,1
666,1165,1
685,1221,1
655,1178,1
758,1275,1
706,1233,1
737,1292,1
711,1230,1
660,1183,1
673,1162,1
477,944,0
483,961,0
477,954,0
462,966,0
506,971,0
498,984,0
501,958,0
500,999,0
501,1015,0
502,977,0
500,1008,0
513,1001,0
504,999,0
495,1007,0
490,989,0
508,1006,0
485,1013,0
518,1009,0
505,1004,0
493,1005,0
502,941,0
616,1125,1
610,1175,1
642,1161,1
661,1204,1
651,1227,1
670,1236,1
630,1236,1
666,1231,1
670,1200,1
691,1263,1
622,1174,1
586,1141,1
579,1122,1
521,994,0
508,979,0
457,1016,0
501,1019,0
502,1028,0
520,1024,0
441,892,0
439,906,0
393,912,0
388,915,0
447,916,0
456,916,0
532,984,1
495,1031,1
545,1025,1
508,1057,1
578,1071,1
569,1093,1
597,1101,1
590,1089,1
582,1109,1
566,1109,1
627,1160,1
637,1164,1
582,1144,1
623,1110,1
589,1122,1
561,1111,1
578,1100,1
572,1076,1
504,1060,1
559,1026,1
565,1079,1
522,1045,2
547,1076,2
592,1135,2
697,1197,2
728,1246,2
730,1258,2
804,1329,2
749,1276,2
836,1336,2
822,1314,2
720,1273,2
747,1266,2
770,1289,2
751,1273,2
751,1279,2
753,1277,2
780,1299,2
762,1238,2
780,1301,2
801,1329,2
713,1242,2
712,1208,2
722,1259,2
826,1311,2
813,1329,2
906,1379,2
965,1451,2
999,1469,2
977,1458,2
902,1417,2
913,1420,2
577,1139,1
618,1161,1
628,1162,1
656,1235,1
682,1243,1
705,1248,1
737,1310,1
741,1338,1
778,1320,1
799,1383,1
797,1342,1
762,1387,1
759,1384,1
793,1373,1
814,1355,1
805,1392,1
802,1393,1
800,1396,1
787,1395,1
800,1399,1
782,1333,1
708,1312,1
611,1183,1
593,1151,1
575,1129,1
565,1135,1
574,1130,1
580,1095,1
555,1063,1
394,850,0
388,895,0
380,874,0
356,889,0
371,879,0
377,812,0
380,860,0
345,862,0
369,834,0
373,867,0
448,929,0
483,912,0
469,892,0
474,920,0
471,926,0
460,944,0
466,934,0
474,926,0
466,922,0
472,968,0
482,934,0
537,1031,1
513,1035,1
549,1061,1
554,1083,1
517,1098,1
560,1107,1
534,1051,1
516,1035,1
517,1101,1
506,1094,1
550,1091,1
603,1196,1
596,1206,1
630,1218,1
664,1249,1
672,1266,1
696,1294,1
691,1295,1
693,1304,1
563,1202,1
563,1140,1
552,1147,1
550,1103,1
511,1105,1
423,913,0
421,910,0
399,906,0
477,959,1
472,1016,1
506,1038,1
509,1035,1
504,1026,1
511,1050,1
506,1034,1
485,1044,1
504,1005,1
534,1048,1
516,1041,1
526,1082,1
523,1092,1
514,1057,1
532,1082,1
532,1033,1
501,1080,1
545,1050,1
539,1090,1
491,1004,1
529,1079,1
550,1098,1
580,1117,1
544,1124,1
564,1139,1
607,1127,1
598,1146,1
607,1161,1
621,1137,1
630,1186,1
649,1218,1
658,1240,1
657,1225,1
670,1220,1
669,1243,1
644,1231,1
530,1142,1
556,1071,1
539,1094,1
532,1092,1
536,1081,1
526,1075,1
513,1082,1
495,1081,1
525,1063,1
424,855,0
401,875,0
408,894,0
410,888,0
403,882,0
409,896,0
377,886,0
410,900,0
430,929,0
417,911,0
423,865,0
413,925,0
408,919,0
434,923,0
416,906,0
442,897,0
419,908,0
432,931,0
407,954,0
452,974,0
457,994,0
464,943,0
468,997,0
466,948,0
465,997,0
483,993,0
467,1008,0
472,958,0
472,1009,0
479,980,0
485,1005,0
466,1006,0
428,1010,0
475,984,0
653,1173,2
697,1215,2
682,1181,2
666,1172,2
638,1166,2
629,1154,2
636,1167,2
772,1389,2
869,1355,2
864,1363,2
861,1349,2
891,1370,2
879,1395,2
886,1422,2
940,1434,2
969,1428,2
993,1495,2
974,1509,2
1030,1504,2
1034,1532,2
1047,1543,2
1045,1540,2
1062,1518,2
1061,1552,2
1066,1569,2
967,1434,2
941,1400,2
894,1369,2
886,1383,2
858,1352,2
878,1350,2
904,1366,2
867,1327,2
800,1317,2
853,1279,2
843,1374,2
896,1383,2
901,1396,2
918,1401,2
912,1408,2
854,1377,2
874,1364,2
856,1274,2
840,1315,2
855,1335,2
861,1344,2
862,1339,2
865,1350,2
870,1348,2
849,1321,2
844,1342,2
855,1333,2
832,1360,2
873,1322,2
848,1332,2
847,1320,2
854,1339,2
847,1334,2
836,1321,2
820,1283,2
828,1324,2
797,1211,2
707,1164,2
652,1150,2
650,1142,2
624,1105,2
597,1084,2
723,1317,2
788,1358,2
844,1427,2
877,1452,2
1112,1645,2
1129,1665,2
1124,1652,2
1053,1642,2
1088,1635,2
1066,1621,2
1049,1615,2
1052,1606,2
1013,1606,2
1035,1592,2
956,1557,2
921,1522,2
897,1475,2
918,1535,2
916,1543,2
920,1498,2
936,1551,2
922,1553,2
933,1556,2
953,1577,2
998,1595,2
987,1602,2
982,1560,2
878,1508,2
767,1385,2
705,1329,2
689,1266,2
767,1375,2
426,883,0
429,947,0
448,964,0
407,995,0
458,958,0
463,1027,0
466,1033,0
459,1010,0
588,1176,0
567,1125,0
522,1138,0
585,1133,0
545,1148,0
568,1149,0
557,1160,0
512,1148,0
561,1148,0
574,1150,0
532,1155,0
572,1156,0
571,1165,0
552,1153,0
566,1151,0
543,1155,0
540,1114,1
542,1119,1
543,1117,1
529,1089,1
518,1126,1
547,1119,1
524,1113,1
523,1135,1
550,1123,1
554,1146,1
493,1109,1
574,1110,1
576,1172,1
575,1188,1
606,1164,1
609,1207,1
621,1219,1
610,1225,1
597,1204,1
605,1202,1
611,1200,1
582,1191,1
608,1180,1
554,1186,1
611,1225,1
603,1208,1
581,1198,1
591,1176,1
585,1174,1
555,1160,1
527,1094,0
521,1074,0
519,1083,0
522,1127,0
511,1076,0
491,1079,0
545,1082,0
513,1076,0
440,932,0
437,949,0
453,966,0
417,990,0
454,925,0
510,1078,0
523,1067,0
492,1044,0
519,1073,0
517,1099,0
545,1131,2
785,1302,2
767,1253,2
763,1240,2
750,1210,2
725,1202,2
683,1193,2
658,1172,2
709,1184,2
642,1169,2
622,1134,2
669,1169,2
626,1153,2
660,1145,2
653,1163,2
706,1149,2
685,1216,2
725,1204,2
729,1261,2
777,1264,2
809,1248,2
806,1275,2
827,1318,2
843,1317,2
852,1333,2
846,1321,2
867,1353,2
866,1342,2
876,1347,2
870,1309,2
877,1355,2
858,1328,2
861,1351,2
876,1367,2
822,1327,2
777,1222,2
761,1228,2
736,1218,2
775,1252,2
780,1246,2
775,1262,2
797,1291,2
807,1291,2
804,1276,2
811,1281,2
828,1307,2
817,1297,2
793,1274,2
755,1230,2
773,1258,2
791,1265,2
800,1245,2
784,1281,2
808,1293,2
824,1318,2
835,1264,2
826,1249,2
817,1298,2
825,1260,2
782,1306,2
819,1295,2
811,1287,2
806,1311,2
835,1309,2
826,1304,2
812,1307,2
788,1304,2
769,1153,2
405,923,0
407,911,0
358,916,0
373,931,0
409,890,0
414,957,0
428,931,0
420,949,0
428,976,0
422,974,0
439,986,0
405,938,0
364,858,0
381,827,0
378,823,0
369,862,0
374,870,0
365,885,0
367,880,0
369,861,0
361,862,0
321,854,0
366,857,0
360,848,0
366,819,0
366,862,0
368,863,0
368,869,0
376,876,0
371,883,0
373,880,0
367,893,0
375,895,0
376,883,0
385,851,0
370,895,0
388,881,0
561,1139,1
559,1187,1
571,1230,1
605,1248,1
583,1261,1
631,1262,1
577,1191,1
539,1164,1
547,1175,1
544,1159,1
619,1252,1
612,1257,1
653,1276,1
563,1233,1
557,1175,1
542,1142,1
569,1144,1
552,1173,1
514,1140,1
522,1068,1
533,1106,1
539,1134,1
556,1179,1
579,1188,1
569,1186,1
571,1180,1
526,1160,1
559,1112,1
581,1191,1
562,1166,1
560,1166,1
559,1155,1
746,1343,2
796,1403,2
823,1408,2
788,1454,2
856,1459,2
938,1557,2
926,1574,2
954,1576,2
924,1559,2
928,1573,2
937,1527,2
959,1607,2
945,1587,2
972,1593,2
870,1523,2
742,1421,2
732,1271,2
669,1162,2
608,1184,2
714,1230,2
713,1219,2
666,1213,2
698,1245,2
773,1304,2
748,1284,2
770,1270,2
822,1359,2
808,1341,2
845,1326,2
821,1341,2
840,1376,2
875,1434,2
805,1216,2
586,1024,2
610,1108,2
619,1096,2
731,1265,2
880,1416,2
808,1266,2
741,1237,2
819,1366,2
776,1281,2
771,1306,2
808,1330,2
843,1354,2
820,1338,2
829,1312,2
833,1347,2
839,1335,2
854,1340,2
831,1398,2
872,1346,2
864,1366,2
848,1367,2
891,1388,2
892,1379,2
846,1408,2
871,1339,2
895,1422,2
918,1434,2
942,1484,2
852,1266,2
682,1099,2
554,1019,2
506,993,2
552,1110,2
606,1121,2
608,1155,2
607,1106,2
657,1168,2
609,1098,2
443,1124,1
442,1131,1
478,1132,1
488,1153,1
496,1126,1
496,1103,1
467,1148,1
504,1167,1
511,1190,1
537,1167,1
527,1235,1
542,1233,1
566,1265,1
584,1261,1
582,1279,1
545,1215,1
540,1226,1
543,1228,1
550,1257,1
478,1214,1
510,1191,1
536,1231,1
560,1248,1
552,1251,1
540,1233,1
562,1216,1
537,1249,1
561,1267,1
543,1272,1
589,1291,1
600,1263,1
587,1299,1
561,1302,1
577,1278,1
511,1232,1
556,1230,1
536,1214,1
508,1182,1
499,1162,1
506,1181,1
536,1224,1
527,1167,1
539,1238,1
549,1238,1
513,1228,1
552,1248,1
549,1233,1
552,1202,1
550,1248,1
544,1230,1
496,1200,1
531,1202,1
524,1163,1
528,1198,1
520,1182,1
528,1196,1
521,1213,1
525,1182,1
506,1186,1
508,1126,1
526,1158,1
467,1182,1
515,1200,1
518,1182,1
507,1183,1
469,1184,1
455,1169,1
477,1148,1
501,1177,1
499,1167,1
516,1167,1
502,1165,1
376,909,0
384,919,0
399,955,0
421,912,0
408,970,0
423,981,0
397,945,0
362,941,0
387,947,0
375,963,0
415,974,0
431,1010,0
409,909,0
414,963,0
400,940,0
432,953,0
396,940,0
380,955,0
411,967,0
401,922,0
365,929,0
416,976,0
402,1001,0
433,962,0
390,1005,0
399,990,0
434,994,0
379,997,0
394,995,0
417,1012,0
420,1000,0
421,999,0
434,1007,0
423,995,0
439,1005,0
390,1011,0
422,1004,0
419,991,0
388,893,0
467,977,0
460,948,0
437,880,0
457,927,0
393,930,0
438,910,0
432,948,0
418,943,0
422,904,0
419,917,0
374,949,0
418,962,0
420,952,0
408,948,0
413,955,0
422,955,0
415,935,0
414,946,0
556,1166,1
569,1182,1
596,1213,1
594,1214,1
588,1201,1
537,1134,1
555,1157,1
553,1173,1
498,1131,1
553,1153,1
561,1127,1
543,1149,1
530,1145,1
556,1163,1
602,1215,1
584,1221,1
613,1201,1
626,1217,1
589,1215,1
571,1194,1
550,1160,1
534,1138,1
549,1163,1
547,1158,1
545,1168,1
548,1138,1
579,1130,2
641,1112,2
628,1132,2
591,1132,2
598,1111,2
600,1107,2
594,1075,2
558,1079,2
542,1063,2
531,1056,2
544,1022,2
647,1244,2
700,1220,2
774,1286,2
714,1196,2
685,1171,2
581,1117,2
586,1106,2
588,1118,2
546,1101,2
569,1110,2
573,1114,2
579,1080,2
580,1066,2
563,1111,2
572,1101,2
585,1118,2
541,1117,2
582,1115,2
650,1188,2
668,1186,2
660,1126,2
627,1115,2
577,1083,2
542,1078,2
553,1037,2
536,1013,2
494,1031,1
494,1092,1
500,1118,1
506,1115,1
494,1120,1
