mq2,mq136,category
8.0,46.0,SEDANG
7.0,47.0,SEDANG
7.0,50.0,SEDANG
8.0,48.0,SEDANG
12.0,48.0,SEDANG
14.0,47.0,BAIK
22.0,48.0,SEDANG
26.0,7.0,BAIK
26.0,11.0,SEDANG
28.0,14.0,SEDANG
25.0,13.0,SEDANG
30.0,12.0,SEDANG
34.0,13.0,TIDAK SEHAT
28.0,15.0,SEDANG
22.0,12.0,SEDANG
19.0,13.0,SEDANG
20.0,15.0,SEDANG
26.0,14.0,SEDANG
18.0,10.0,SEDANG
15.0,9.0,BAIK
20.0,10.0,SEDANG
17.0,9.0,BAIK
19.0,9.0,BAIK
17.0,13.0,SEDANG
21.0,12.0,SEDANG
24.0,11.0,SEDANG
21.0,14.0,SEDANG
22.0,20.0,SEDANG
18.0,13.0,SEDANG
22.0,13.0,SEDANG
25.0,14.0,SEDANG
25.0,13.0,SEDANG
23.0,11.0,SEDANG
19.0,13.0,SEDANG
22.0,19.0,SEDANG
25.0,13.0,SEDANG
17.0,13.0,SEDANG
18.0,16.0,SEDANG
15.0,58.0,TIDAK SEHAT
12.0,58.0,TIDAK SEHAT
13.0,56.0,SEDANG
15.0,58.0,SEDANG
30.0,56.0,TIDAK SEHAT
18.0,55.0,SEDANG
13.0,55.0,SEDANG
14.0,56.0,SEDANG
11.0,55.0,SEDANG
23.0,56.0,SEDANG
6.0,54.0,SEDANG
18.0,55.0,SEDANG
7.0,54.0,SEDANG
11.0,54.0,SEDANG
9.0,54.0,SEDANG
11.0,54.0,SEDANG
12.0,54.0,SEDANG
11.0,54.0,SEDANG
20.0,54.0,SEDANG
13.0,54.0,SEDANG
18.0,55.0,SEDANG
14.0,54.0,SEDANG
14.0,54.0,SEDANG
13.0,54.0,SEDANG
9.0,54.0,SEDANG
14.0,54.0,SEDANG
16.0,54.0,SEDANG
11.0,54.0,SEDANG
9.0,54.0,SEDANG
27.0,27.0,TIDAK SEHAT
10.0,56.0,SEDANG
14.0,55.0,SEDANG
11.0,55.0,SEDANG
7.0,55.0,SEDANG
6.0,54.0,SEDANG
13.0,55.0,SEDANG
8.0,55.0,SEDANG
10.0,56.0,SEDANG
6.0,55.0,SEDANG
11.0,55.0,SEDANG
8.0,55.0,SEDANG
11.0,55.0,SEDANG
9.0,55.0,SEDANG
8.0,55.0,SEDANG
10.0,55.0,SEDANG
13.0,55.0,SEDANG
5.0,55.0,SEDANG
6.0,55.0,SEDANG
20.0,51.0,SEDANG
16.0,51.0,SEDANG
16.0,51.0,SEDANG
17.0,51.0,SEDANG
30.0,52.0,SEDANG
19.0,52.0,SEDANG
11.0,52.0,SEDANG
12.0,52.0,SEDANG
11.0,52.0,SEDANG
24.0,51.0,SEDANG
11.0,54.0,SEDANG
16.0,58.0,SEDANG
11.0,61.0,SEDANG
11.0,56.0,SEDANG
11.0,57.0,SEDANG
10.0,57.0,SEDANG
8.0,57.0,SEDANG
12.0,58.0,SEDANG
9.0,52.0,SEDANG
4.0,52.0,SEDANG
6.0,52.0,SEDANG
15.0,46.0,SEDANG
12.0,46.0,SEDANG
14.0,45.0,SEDANG
10.0,46.0,SEDANG
13.0,48.0,SEDANG
10.0,49.0,SEDANG
10.0,47.0,SEDANG
8.0,45.0,BAIK
8.0,46.0,SEDANG
6.0,45.0,BAIK
10.0,47.0,SEDANG
10.0,48.0,BAIK
8.0,51.0,SEDANG
11.0,47.0,SEDANG
6.0,46.0,BAIK
3.0,44.0,BAIK
5.0,44.0,BAIK
8.0,45.0,BAIK
11.0,48.0,SEDANG
9.0,48.0,SEDANG
13.0,45.0,SEDANG
31.0,46.0,SEDANG
19.0,47.0,BAIK
10.0,57.0,SEDANG
14.0,56.0,SEDANG
9.0,58.0,SEDANG
14.0,59.0,SEDANG
11.0,57.0,SEDANG
6.0,58.0,SEDANG
8.0,59.0,SEDANG
15.0,57.0,SEDANG
8.0,56.0,SEDANG
7.0,54.0,SEDANG
8.0,54.0,SEDANG
6.0,53.0,SEDANG
6.0,53.0,SEDANG
7.0,53.0,SEDANG
9.0,55.0,SEDANG
